cbsa,cbsa_name,hh_type1_income_min,hh_type1_income_max,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type1_ht_own,hh_type1_h_own,hh_type1_t_own,hh_type1_autos_own,hh_type1_vmt_own,hh_type1_transit_trips_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t_rent,hh_type1_autos_rent,hh_type1_vmt_rent,hh_type1_transit_trips_rent,hh_type2_income_min,hh_type2_income_max,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type2_ht_own,hh_type2_h_own,hh_type2_t_own,hh_type2_autos_own,hh_type2_vmt_own,hh_type2_transit_trips_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t_rent,hh_type2_autos_rent,hh_type2_vmt_rent,hh_type2_transit_trips_rent,hh_type3_income_min,hh_type3_income_max,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type3_ht_own,hh_type3_h_own,hh_type3_t_own,hh_type3_autos_own,hh_type3_vmt_own,hh_type3_transit_trips_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t_rent,hh_type3_autos_rent,hh_type3_vmt_rent,hh_type3_transit_trips_rent,hh_type4_income_min,hh_type4_income_max,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type4_ht_own,hh_type4_h_own,hh_type4_t_own,hh_type4_autos_own,hh_type4_vmt_own,hh_type4_transit_trips_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t_rent,hh_type4_autos_rent,hh_type4_vmt_rent,hh_type4_transit_trips_rent,hh_type5_income_min,hh_type5_income_max,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type5_ht_own,hh_type5_h_own,hh_type5_t_own,hh_type5_autos_own,hh_type5_vmt_own,hh_type5_transit_trips_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t_rent,hh_type5_autos_rent,hh_type5_vmt_rent,hh_type5_transit_trips_rent,hh_type6_income_min,hh_type6_income_max,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type6_ht_own,hh_type6_h_own,hh_type6_t_own,hh_type6_autos_own,hh_type6_vmt_own,hh_type6_transit_trips_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t_rent,hh_type6_autos_rent,hh_type6_vmt_rent,hh_type6_transit_trips_rent,hh_type7_income_min,hh_type7_income_max,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type7_ht_own,hh_type7_h_own,hh_type7_t_own,hh_type7_autos_own,hh_type7_vmt_own,hh_type7_transit_trips_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t_rent,hh_type7_autos_rent,hh_type7_vmt_rent,hh_type7_transit_trips_rent,hh_type8_income_min,hh_type8_income_max,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips,hh_type8_ht_own,hh_type8_h_own,hh_type8_t_own,hh_type8_autos_own,hh_type8_vmt_own,hh_type8_transit_trips_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t_rent,hh_type8_autos_rent,hh_type8_vmt_rent,hh_type8_transit_trips_rent
'10020',"'Abbeville, LA'",44339.00000,44339.00000,44339.00000,4.00000,2.00000,57.01593,25.84838,31.16755,2.33561,30031.00470,18.96609,59.69492,27.39006,32.30486,2.45698,30352.88745,17.73426,48.27333,20.81726,27.45607,1.93953,28980.57147,22.98607,11720.00000,11720.00000,11720.00000,1.00000,1.00000,125.96104,61.10091,64.86013,1.27764,19343.54288,6.47462,131.26059,63.82015,67.44044,1.35914,19564.88574,1.16895,108.66646,52.22692,56.43954,1.01167,18621.21189,23.78918,22170.00000,22170.00000,22170.00000,1.00000,1.00000,73.26735,35.57746,37.68989,1.40491,19904.04561,5.14530,76.08715,36.94819,39.13896,1.48548,20145.77460,0.96012,64.06523,31.10422,32.96101,1.14201,19115.18643,18.80323,59858.00000,59858.00000,59858.00000,1.00000,1.00000,34.94655,18.88086,16.06568,1.60556,21376.12114,3.38926,36.72168,20.08035,16.64133,1.68548,21671.40156,0.63892,29.15357,14.96646,14.18712,1.34479,20412.50203,12.36472,35471.00000,35471.00000,35471.00000,2.00000,0.00000,52.33029,33.14365,19.18664,1.52893,8201.10420,23.43761,56.05030,35.56298,20.48732,1.65209,8389.34171,18.45868,40.19040,25.24841,14.94200,1.12700,7586.80930,39.68586,22170.00000,22170.00000,22170.00000,3.00000,1.00000,88.54877,42.42699,46.12178,1.83772,21817.66739,26.15164,92.31455,44.02908,48.28547,1.96272,22067.98926,22.59145,76.25951,37.19872,39.06080,1.42980,21000.76615,37.77000,35471.00000,35471.00000,35471.00000,3.00000,1.00000,61.96650,31.75540,30.21110,1.93317,22734.62090,23.96757,65.23278,33.65759,31.57519,2.05811,23006.69029,21.13929,51.30733,25.54778,25.75955,1.52544,21846.74874,33.19739,66509.00000,66509.00000,66509.00000,4.00000,2.00000,42.24115,20.00096,22.24019,2.41801,31348.78770,17.38837,44.69285,21.65387,23.03898,2.53935,31697.29369,16.61918,34.24027,14.60684,19.63343,2.02201,30211.47210,19.89854
'10100',"'Aberdeen, SD'",49652.00000,49652.00000,49652.00000,4.00000,2.00000,51.70214,24.75842,26.94372,2.30972,26822.84826,55.26492,55.38548,27.01194,28.37353,2.47316,27439.87251,48.51165,42.42213,19.08077,23.34136,1.89795,25268.28102,72.27953,11720.00000,11720.00000,11720.00000,1.00000,1.00000,126.94209,66.69455,60.24755,1.23547,16325.11127,29.47725,136.13336,72.28269,63.85068,1.35007,16661.49981,11.11048,103.78507,52.61546,51.16961,0.94673,15477.59418,75.75156,24826.00000,24826.00000,24826.00000,1.00000,1.00000,66.89252,35.04313,31.84939,1.38701,16917.67402,24.31822,71.06186,37.37772,33.68413,1.50117,17293.72044,9.37304,56.38806,29.16123,27.22684,1.09937,15970.24051,61.97199,67030.00000,67030.00000,67030.00000,1.00000,1.00000,32.02848,17.94030,14.08818,1.58786,18291.99730,17.50307,34.64546,19.78888,14.85658,1.70117,18760.08085,7.14617,25.43512,13.28289,12.15224,1.30237,17112.68002,43.59686,39722.00000,39722.00000,39722.00000,2.00000,0.00000,47.80724,31.94224,15.86500,1.50209,5393.19072,65.20866,52.60406,35.17233,17.43174,1.66749,5698.44309,49.17845,35.72184,23.80418,11.91767,1.08535,4624.11991,105.59612,24826.00000,24826.00000,24826.00000,3.00000,1.00000,80.38584,41.03914,39.34671,1.81020,18791.05035,68.88488,85.76025,43.75781,42.00244,1.97779,19247.49379,55.63618,66.84524,34.18954,32.65570,1.38795,17641.05985,102.26446,39722.00000,39722.00000,39722.00000,3.00000,1.00000,56.04932,30.22593,25.82339,1.90604,19668.33267,64.62242,60.65474,33.14990,27.50484,2.07373,20162.10918,53.19606,44.44616,22.85910,21.58706,1.48353,18424.28304,93.41067,74478.00000,74478.00000,74478.00000,4.00000,2.00000,38.61451,19.35957,19.25494,2.39129,28092.07881,52.01524,41.88518,21.62373,20.26145,2.55479,28754.85102,46.99868,30.37417,13.65509,16.71909,1.97937,26422.25147,64.65428
'10140',"'Aberdeen, WA'",42440.00000,42440.00000,42440.00000,4.00000,2.00000,59.88561,26.21572,33.66990,2.29385,29528.83767,23.86662,63.22161,27.72254,35.49908,2.47014,30157.75500,23.42994,52.40084,22.83496,29.56588,1.89832,28117.77615,24.84635,11720.00000,11720.00000,11720.00000,1.00000,1.00000,137.88976,70.12231,67.76745,1.25659,19011.75614,8.85861,150.02815,78.07781,71.95034,1.38004,19463.97984,1.47359,110.65564,52.27307,58.38257,0.97960,17997.13080,25.42789,21220.00000,21220.00000,21220.00000,1.00000,1.00000,81.20412,40.38981,40.81431,1.37639,19530.67394,7.09426,87.52589,44.25897,43.26692,1.49940,20005.03052,1.34563,67.02037,31.70883,35.31154,1.10042,18466.39048,19.99209,57294.00000,57294.00000,57294.00000,1.00000,1.00000,36.09931,18.74211,17.35720,1.57705,20972.29220,4.56399,38.66627,20.33903,18.32723,1.69951,21508.13247,1.11824,30.34000,15.15919,15.18081,1.30232,19770.06171,12.29500,33952.00000,33952.00000,33952.00000,2.00000,0.00000,53.04575,32.94467,20.10108,1.48654,8019.51370,31.77819,58.10421,35.94466,22.15955,1.66554,8406.84561,24.11979,41.69640,26.21380,15.48260,1.08493,7150.48190,48.96085,21220.00000,21220.00000,21220.00000,3.00000,1.00000,93.65782,44.03316,49.62466,1.79531,21429.82064,35.05274,100.36423,47.27760,53.08663,1.97668,21944.47238,30.30781,78.61106,36.75380,41.85726,1.38838,20275.12949,45.69863,33952.00000,33952.00000,33952.00000,3.00000,1.00000,64.31223,31.80792,32.50430,1.88976,22334.50678,31.16338,68.79630,34.11196,34.68434,2.07095,22874.11190,27.91672,54.25160,26.63852,27.61308,1.48324,21123.82934,38.44770,63660.00000,63660.00000,63660.00000,4.00000,2.00000,44.64501,20.63708,24.00793,2.37648,30831.49435,21.68153,47.36234,22.07365,25.28869,2.55288,31490.96637,21.81405,38.54831,17.41394,21.13437,1.98072,29351.87920,21.38418
'10180',"'Abilene, TX'",44007.00000,44007.00000,44007.00000,4.00000,2.00000,55.61187,26.34737,29.26450,2.20532,27283.18167,50.47486,58.97681,27.79227,31.18454,2.39237,28225.25244,39.48204,49.33942,23.65399,25.68543,1.85665,25527.10686,70.96612,11720.00000,11720.00000,11720.00000,1.00000,1.00000,127.54755,69.17173,58.37582,1.16755,17018.29334,28.89089,137.59383,74.75855,62.83528,1.29494,17726.56605,5.63041,108.82071,58.75758,50.06312,0.93008,15698.03174,72.24977,22004.00000,22004.00000,22004.00000,1.00000,1.00000,73.14469,38.80481,34.33988,1.29500,17448.36936,24.67748,78.41557,41.57133,36.84424,1.42168,18166.15691,4.99884,63.31947,33.64786,29.67161,1.05886,16110.37157,61.35961,59409.00000,59409.00000,59409.00000,1.00000,1.00000,33.58014,18.87376,14.70638,1.49616,18588.53826,18.71462,36.08382,20.40068,15.68314,1.62190,19331.49160,3.98526,28.91312,16.02748,12.88564,1.26176,17203.62993,46.17100,35206.00000,35206.00000,35206.00000,2.00000,0.00000,49.96794,32.92110,17.04684,1.39780,6012.24154,63.63678,55.17047,35.94340,19.22707,1.58782,6710.26950,40.47598,40.27012,27.28737,12.98275,1.04360,4711.07674,106.80985,22004.00000,22004.00000,22004.00000,3.00000,1.00000,86.67623,44.07271,42.60352,1.70603,19412.88800,66.17943,92.77083,46.51975,46.25107,1.89861,20245.30497,46.55544,75.31554,39.51127,35.80427,1.34706,17861.21427,102.75969,35206.00000,35206.00000,35206.00000,3.00000,1.00000,59.94285,32.00275,27.94010,1.80069,20195.21431,61.05146,64.45108,34.22365,30.22743,1.99282,21037.87484,44.24762,51.53924,27.86286,23.67637,1.44254,18624.44599,92.37479,66011.00000,66011.00000,66011.00000,4.00000,2.00000,41.07965,20.18333,20.89633,2.28713,28436.08672,46.85698,43.79721,21.56580,22.23141,2.47377,29390.66786,37.75857,36.01397,17.60631,18.40766,1.93921,26656.69186,63.81696
'10220',"'Ada, OK'",40680.00000,40680.00000,40680.00000,4.00000,2.00000,57.79614,24.96247,32.83367,2.26460,27896.49461,4.56555,60.91229,26.02130,34.89099,2.45003,28738.26632,4.09036,51.49010,22.81976,28.67034,1.88936,26193.02862,5.52717,11720.00000,11720.00000,11720.00000,1.00000,1.00000,120.20913,58.87028,61.33885,1.24012,17077.83991,1.82797,130.63470,64.74982,65.88488,1.36897,17684.17339,0.00000,99.11125,46.97204,52.13921,0.97936,15850.82260,5.52717,20340.00000,20340.00000,20340.00000,1.00000,1.00000,74.46177,35.69905,38.76272,1.35114,17616.84327,1.00523,79.89566,38.35791,41.53775,1.47947,18256.82842,0.00000,63.46538,30.31841,33.14697,1.09144,16321.72616,3.03947,54918.00000,54918.00000,54918.00000,1.00000,1.00000,34.60438,17.91119,16.69319,1.55227,19205.74475,0.00000,36.85179,19.06041,17.79138,1.67947,19945.06920,0.00000,30.05638,15.58557,14.47081,1.29488,17709.59795,0.00000,32544.00000,32544.00000,32544.00000,2.00000,0.00000,51.02387,31.78623,19.23765,1.45777,6303.96022,11.76711,55.44156,33.91535,21.52620,1.64604,6802.65146,4.46147,42.08396,27.47758,14.60637,1.07679,5294.77502,26.55131,20340.00000,20340.00000,20340.00000,3.00000,1.00000,88.10981,40.34341,47.76640,1.76558,19659.23250,12.36642,94.16752,42.53258,51.63494,1.95643,20336.06885,6.58573,75.85103,35.91326,39.93777,1.37936,18289.54084,24.06460,32544.00000,32544.00000,32544.00000,3.00000,1.00000,61.72014,30.32293,31.39721,1.86030,20623.66625,9.60704,65.75892,31.92722,33.83170,2.05019,21340.80824,5.73297,53.54700,27.07639,26.47062,1.47605,19172.40938,17.44687,61020.00000,61020.00000,61020.00000,4.00000,2.00000,42.79303,19.30625,23.48678,2.34604,29272.32375,3.60425,45.74304,20.81773,24.92531,2.53091,30163.43785,3.64819,36.82319,16.24751,20.57568,1.97194,27469.00517,3.51534
'10300',"'Adrian, MI'",48528.00000,48528.00000,48528.00000,4.00000,2.00000,57.13169,27.85666,29.27504,2.37132,30276.86931,40.41227,59.33494,29.00703,30.32791,2.48894,30722.57604,35.24644,49.25067,23.74177,25.50890,1.95060,28682.57096,58.89049,11720.00000,11720.00000,11720.00000,1.00000,1.00000,141.08777,74.41495,66.67282,1.29281,19483.66644,18.06530,148.25674,78.94915,69.30760,1.37366,19777.03069,5.90681,115.44427,58.19609,57.24818,1.00362,18434.29895,61.55636,24264.00000,24264.00000,24264.00000,1.00000,1.00000,73.92989,38.36830,35.56159,1.43780,20023.07250,14.78709,76.92349,40.01400,36.90949,1.51759,20332.09798,4.92359,63.22172,32.48160,30.74012,1.15239,18917.68462,50.06895,65513.00000,65513.00000,65513.00000,1.00000,1.00000,35.86037,20.33665,15.52372,1.63872,21303.36979,10.79703,37.32883,21.24979,16.07904,1.71798,21649.52056,3.80981,30.60766,17.07032,13.53734,1.35522,20065.18429,35.79042,38822.00000,38822.00000,38822.00000,2.00000,0.00000,53.89219,35.87395,18.01824,1.56551,8127.88415,47.43972,56.98586,37.78526,19.20061,1.68510,8398.29741,36.11081,42.82607,29.03717,13.78890,1.13772,7160.61263,87.96335,24264.00000,24264.00000,24264.00000,3.00000,1.00000,88.20996,44.69667,43.51329,1.87431,22055.19177,51.41294,91.73976,46.23752,45.50224,1.99548,22417.30884,42.08386,75.58383,39.18505,36.39878,1.44089,20759.89465,84.78316,38822.00000,38822.00000,38822.00000,3.00000,1.00000,62.56598,34.13326,28.43272,1.96926,22894.35508,47.87810,65.28151,35.59730,29.68421,2.09027,23271.55796,39.86215,52.85252,28.89639,23.95613,1.53643,21545.09581,76.55128,72792.00000,72792.00000,72792.00000,4.00000,2.00000,42.56487,21.71538,20.84949,2.45392,31499.33292,37.62066,44.79750,23.21008,21.58742,2.57169,31963.47156,33.48409,34.57873,16.36885,18.20989,2.03266,29839.10342,52.41724
'10420',"'Akron, OH'",49936.00000,49936.00000,49936.00000,4.00000,2.00000,54.02767,28.61258,25.41508,2.17846,26117.33776,22.29451,57.51575,30.60502,26.91074,2.34204,26926.37106,18.13747,46.44019,24.27854,22.16165,1.82262,24357.48333,31.33715,11720.00000,11720.00000,11720.00000,1.00000,1.00000,136.24180,80.00879,56.23301,1.10921,16259.58790,13.42093,147.68837,87.42130,60.26707,1.21906,16904.61845,4.64225,111.34256,63.88466,47.45790,0.87026,14856.48140,32.51681,24968.00000,24968.00000,24968.00000,1.00000,1.00000,70.41383,40.89421,29.51962,1.26257,16584.60173,11.73063,75.25616,43.77233,31.48383,1.37153,17216.83152,4.19140,59.88051,34.63356,25.24695,1.02557,15209.34016,28.13040,67414.00000,67414.00000,67414.00000,1.00000,1.00000,33.82845,20.84410,12.98435,1.46342,17334.31220,9.69238,36.20516,22.44442,13.76074,1.57153,17936.98269,3.65435,28.65851,17.36298,11.29553,1.22825,16023.34968,22.82663,39949.00000,39949.00000,39949.00000,2.00000,0.00000,50.80018,36.53813,14.26205,1.37130,4860.66748,25.89616,55.72173,39.75013,15.97160,1.53750,5441.78408,18.44057,40.09455,29.55121,10.54335,1.00979,3596.59016,42.11399,24968.00000,24968.00000,24968.00000,3.00000,1.00000,84.06488,47.29109,36.77379,1.67957,18485.68762,26.84388,89.75511,50.09872,39.65638,1.84817,19224.44208,20.34834,71.68718,41.18376,30.50342,1.31282,16878.70765,40.97334,39949.00000,39949.00000,39949.00000,3.00000,1.00000,59.21925,35.12504,24.09421,1.77467,19109.43355,25.41192,63.51241,37.62597,25.88644,1.94268,19836.19295,19.63789,49.88053,29.68488,20.19565,1.40919,17528.54589,37.97191,74904.00000,74904.00000,74904.00000,4.00000,2.00000,40.07854,21.95160,18.12694,2.26062,27076.05482,21.14803,43.35526,24.19685,19.15841,2.42373,27870.40782,17.53949,32.95083,17.06760,15.88324,1.90581,25348.13378,28.99754
'10460',"'Alamogordo, NM'",39054.00000,39054.00000,39054.00000,4.00000,2.00000,59.01704,25.86920,33.14784,2.26468,28890.44535,34.27394,62.18155,27.32670,34.85485,2.43157,29377.89305,29.52031,52.52180,22.87763,29.64417,1.92215,27889.94351,44.03091,11720.00000,11720.00000,11720.00000,1.00000,1.00000,124.28965,61.41381,62.87585,1.24708,18540.83589,16.40898,130.33503,63.89538,66.43965,1.35819,18903.92650,3.10666,111.88134,56.32031,55.56103,1.01904,17795.58093,43.71242,19527.00000,19527.00000,19527.00000,1.00000,1.00000,78.79117,38.87255,39.91862,1.35091,19031.42917,14.27035,82.32477,40.26588,42.05889,1.46140,19398.14842,2.81159,71.53835,36.01270,35.52565,1.12411,18278.72631,37.78983,52723.00000,52723.00000,52723.00000,1.00000,1.00000,36.23870,18.62776,17.61095,1.55162,20571.57783,10.47151,38.54624,20.05400,18.49225,1.66140,20949.66869,2.11266,31.50240,15.70035,15.80205,1.32628,19795.53436,27.62831,31243.00000,31243.00000,31243.00000,2.00000,0.00000,53.11493,32.48039,20.63454,1.45704,7484.53342,42.58991,58.06430,35.36013,22.70417,1.62691,7831.76663,30.39521,42.95620,26.56963,16.38657,1.10840,6771.82625,67.61992,19527.00000,19527.00000,19527.00000,3.00000,1.00000,92.55025,43.92472,48.62553,1.76533,20793.81437,45.18673,97.25979,45.39327,51.86652,1.93740,21221.09244,35.59118,82.88378,40.91050,41.97328,1.41215,19916.81262,64.88190,31243.00000,31243.00000,31243.00000,3.00000,1.00000,64.51817,31.53350,32.98467,1.86050,21738.46944,41.63248,68.77293,33.63412,35.13881,2.03272,22170.37021,33.55708,55.78513,27.22191,28.56322,1.50701,20851.97942,58.20747,58581.00000,58581.00000,58581.00000,4.00000,2.00000,43.43718,19.69485,23.74233,2.34684,30241.99859,31.87593,46.28482,21.34740,24.93742,2.51370,30735.08759,28.12305,37.59231,16.30293,21.28938,2.00437,29229.91783,39.57883
'10500',"'Albany, GA'",36216.00000,36216.00000,36216.00000,4.00000,2.00000,61.72577,27.40649,34.31929,2.16622,27267.38032,16.87288,66.43093,29.32706,37.10388,2.40236,28308.54365,10.48517,55.34737,24.80292,30.54445,1.84610,25855.95934,25.53219,11720.00000,11720.00000,11720.00000,1.00000,1.00000,124.02660,64.58098,59.44561,1.18111,17066.45804,10.26867,139.39648,74.21276,65.18372,1.34437,17866.51431,0.21276,103.19088,51.52395,51.66693,0.95979,15981.88642,23.90064,18108.00000,18108.00000,18108.00000,1.00000,1.00000,83.37666,42.89905,40.47761,1.26926,17479.91533,8.13374,92.73167,48.52652,44.20515,1.43174,18297.74878,0.19905,70.69483,35.27034,35.42449,1.04900,16371.24461,18.89016,48892.00000,48892.00000,48892.00000,1.00000,1.00000,37.35172,19.37603,17.97569,1.47027,18963.74601,4.66699,41.05552,21.54601,19.50951,1.63174,19845.45310,0.15791,32.33077,16.43436,15.89641,1.25138,17768.48697,10.77959,28973.00000,28973.00000,28973.00000,2.00000,0.00000,54.24178,33.98736,20.25441,1.35861,6040.13706,28.74090,61.37379,37.82577,23.54803,1.59852,6753.94651,10.98626,44.57348,28.78395,15.78953,1.03338,5072.48328,52.80942,18108.00000,18108.00000,18108.00000,3.00000,1.00000,96.25017,46.69755,49.55262,1.66592,19252.90267,29.39514,105.81618,51.03224,54.78394,1.90881,20146.04616,14.70068,83.28231,40.82136,42.46095,1.33666,18042.14022,49.31523,28973.00000,28973.00000,28973.00000,3.00000,1.00000,66.79581,33.10060,33.69521,1.76056,20174.80852,24.95176,73.32216,36.16221,37.15994,2.00276,21093.90435,13.42489,57.94857,28.95022,28.99835,1.43223,18928.86460,40.57781,54324.00000,54324.00000,54324.00000,4.00000,2.00000,45.66436,21.04298,24.62137,2.24862,28590.98348,14.34156,49.39792,22.82822,26.56970,2.48423,29663.89646,9.66154,40.60307,18.62288,21.98019,1.92922,27136.52208,20.68588
'10540',"'Albany-Lebanon, OR'",47129.00000,47129.00000,47129.00000,4.00000,2.00000,56.63116,27.03641,29.59475,2.25324,28199.57754,62.90100,59.86847,28.49443,31.37404,2.43568,29075.87216,51.26252,50.14061,24.11318,26.02743,1.88747,26442.67507,86.23524,11720.00000,11720.00000,11720.00000,1.00000,1.00000,142.50317,77.83421,64.66896,1.19895,17911.23792,36.69484,156.15545,87.05582,69.09964,1.32450,18553.33863,10.41454,115.13139,59.34560,55.78579,0.94723,16623.87601,89.38478,23565.00000,23565.00000,23565.00000,1.00000,1.00000,75.63960,40.17034,35.46926,1.34015,18411.63038,31.35261,81.80421,43.98994,37.81427,1.46508,19085.68449,9.24493,63.28003,32.51234,30.76770,1.08969,17060.20438,75.67679,63624.00000,63624.00000,63624.00000,1.00000,1.00000,34.97728,19.45721,15.52008,1.54111,19636.70436,24.90455,37.39828,20.90884,16.48944,1.66551,20388.94891,7.71246,30.12337,16.54680,13.57658,1.29170,18128.51262,59.37336,37703.00000,37703.00000,37703.00000,2.00000,0.00000,51.60015,34.42137,17.17878,1.44546,6735.93213,76.31296,56.12741,36.96640,19.16101,1.63072,7329.12317,52.23801,42.52335,29.31878,13.20457,1.07405,5546.63030,124.58136,23565.00000,23565.00000,23565.00000,3.00000,1.00000,88.00570,44.64515,43.36055,1.75391,20250.33479,79.58043,94.42041,47.72171,46.69871,1.94144,20986.18622,59.19986,75.14471,38.47691,36.66780,1.37791,18775.00997,120.44190,37703.00000,37703.00000,37703.00000,3.00000,1.00000,61.30032,32.89506,28.40526,1.84934,21067.08696,74.46126,65.58533,35.06913,30.51620,2.03705,21834.68198,56.84097,52.70919,28.53621,24.17298,1.47300,19528.11871,109.78857,70694.00000,70694.00000,70694.00000,4.00000,2.00000,42.09644,21.00261,21.09383,2.33561,29394.56630,58.99317,45.08667,22.74595,22.34072,2.51813,30309.70745,49.28273,36.10127,17.50735,18.59393,1.96969,27559.77956,78.46184
